DateTime,Entries,UniqueIPs
1581985690,6202,6202
1581988575,5874,5874
1581990513,5458,5458
1581992409,5145,5145
1581994328,4931,4931
1581996275,4775,4775
1581998172,4689,4689
1582000093,4551,4551
1582002059,4282,4282
1582003936,4176,4176
1582005873,3791,3791
1582007791,3498,3498
1582009696,3270,3270
1582011610,3132,3132
1582013575,2960,2960
1582015453,2753,2753
1582017374,2548,2548
1582019312,2315,2315
1582021207,2186,2186
1582023126,2004,2004
1582025092,1845,1845
1582026969,1723,1723
1582029131,1506,1506
1582031298,1325,1325
1582033209,1086,1086
1582035155,861,861
1582037055,693,693
1582038992,698,698
1582040906,702,702
1582042806,1149,1149
1582044990,2148,2148
1582046886,2154,2154
1582049778,2152,2152
1582051714,2150,2150
1582053613,2147,2147
1582055529,2147,2147
1582057465,2148,2148
1582059368,2149,2149
1582061303,2149,2149
1582063229,2148,2148
1582065158,2146,2146
1582067078,2144,2144
1582068984,2147,2147
1582070894,2143,2143
1582072811,2144,2144
1582074759,2141,2141
1582076651,2137,2137
1582078575,2136,2136
1582080507,2113,2113
1582082418,2105,2105
1582084346,2106,2106
1582086268,2105,2105
1582088170,2105,2105
1582090087,2105,2105
1582092050,2105,2105
1582093930,2107,2107
1582096101,2109,2109
1582098019,2109,2109
1582099952,2101,2101
1582101857,2100,2100
1582103801,2099,2099
1582105694,2093,2093
1582107640,2088,2088
1582109545,2086,2086
1582111465,2080,2080
1582113391,2076,2076
1582115294,2064,2064
1582117253,2059,2059
1582119158,2060,2060
1582121335,2056,2056
1582123218,2057,2057
1582125135,2057,2057
1582127070,2049,2049
1582128971,1696,1696
1582130894,680,680
1582132830,573,573
1582134729,574,574
1582136651,575,575
1582138586,577,577
1582140488,601,601
1582142462,597,597
1582144350,593,593
1582146519,587,587
1582148414,590,590
1582150583,591,591
1582152518,602,602
1582154419,607,607
1582156330,612,612
1582158268,612,612
1582160168,611,611
1582162088,610,610
1582164978,606,606
1582166894,604,604
1582168810,605,605
1582170767,600,600
1582172651,600,600
1582174585,596,596
1582176486,595,595
1582178436,596,596
1582180346,580,580
1582182271,587,587
1582184170,585,585
1582186122,580,580
1582188012,581,581
1582189934,579,579
1582191866,584,584
1582193806,586,586
1582195693,588,588
1582197631,588,588
1582199535,593,593
1582201455,590,590
1582203384,587,587
1582205290,587,587
1582208173,584,584
1582210095,581,581
1582212024,576,576
1582213932,577,577
1582215850,572,572
1582217788,574,574
1582219687,592,592
1582221669,612,612
1582223544,648,648
1582225480,676,676
